pp_id,stim_tempo_intended,length,edit_distance_avg,entropy_diff_avg,quantized_binary_vs_ternary_prop,quantized_binary_vs_total_prop,quantized_ternary_vs_total_prop,rhythmic_contours_edit_distance_avg,G_resp
20,600,5,3.020833333333333,-0.1444056626166552,1.0,0.1458333333333333,0.0,0.75,0.0359915427804836
21,600,5,4.978260869565218,0.0255936592058746,0.9838709677419356,0.4420289855072464,0.0072463768115942,0.8043478260869565,0.0586926967357021
22,600,5,5.0256410256410255,-0.0209534282003052,0.5675675675675675,0.1794871794871795,0.1367521367521367,1.2307692307692308,0.0933219621195502
23,600,5,4.023255813953488,-0.2036294137694463,0.96875,0.2403100775193798,0.0077519379844961,0.7674418604651163,0.0925323399205918
24,600,5,3.7906976744186047,-0.1208977640511532,1.0,0.0775193798449612,0.0,0.7906976744186046,0.0261425402837603
25,600,5,3.0434782608695654,0.0226026254530417,0.9565217391304348,0.1594202898550724,0.0072463768115942,0.8478260869565217,0.0079444543179908
26,600,5,3.4615384615384617,-0.1378276514790811,1.0,0.0598290598290598,0.0,0.9743589743589745,0.0415322537750983
27,600,5,4.230769230769231,-0.0055323475471496,0.8666666666666667,0.2222222222222222,0.0341880341880341,0.8974358974358975,0.0444733807014259
28,600,5,4.0588235294117645,-0.0303807427691394,0.7142857142857143,0.0980392156862745,0.0392156862745098,0.7647058823529411,0.0838583794298197
29,600,5,4.261904761904762,-0.104319527485421,0.9655172413793104,0.2222222222222222,0.0079365079365079,1.2142857142857142,0.1575852692264091
30,600,5,4.186046511627907,-0.1814254311545109,1.0,0.2480620155038759,0.0,0.6744186046511628,0.1164073713735596
31,600,5,3.739130434782609,-0.020608602951153,0.9666666666666668,0.2101449275362318,0.0072463768115942,0.5434782608695652,0.0580396826764407
32,600,5,3.893617021276596,0.070955826954438,0.96875,0.2198581560283688,0.0070921985815602,0.7021276595744681,0.0161016929181794
33,600,5,5.45,0.1538343776660452,0.88,0.1833333333333333,0.025,1.125,0.1699179643760872
34,600,5,3.571428571428572,0.0826788433211643,0.9807692307692308,0.4047619047619047,0.0079365079365079,0.7619047619047619,0.0598621023051975
35,600,5,4.027777777777778,-0.0228877560139189,1.0,0.1574074074074074,0.0,1.0,0.0230401150533449
36,600,5,4.023809523809524,-0.026777864029467,1.0,0.2539682539682539,0.0,0.9285714285714286,0.06321685034227
37,600,5,5.25,0.0171658170104392,1.0,0.2291666666666666,0.0,0.6041666666666666,0.0489523147849502
38,600,5,4.933333333333334,0.0008686000189835,0.9230769230769232,0.2666666666666666,0.0222222222222222,0.9111111111111112,0.0255108066182091
39,600,5,5.111111111111111,-0.2761007388653333,1.0,0.2222222222222222,0.0,1.148148148148148,0.0540891786536912
40,600,5,4.413043478260869,-0.0696546050199446,1.0,0.0797101449275362,0.0,0.6739130434782609,0.0465247390713807
41,600,5,3.511627906976744,-0.0918580708304654,1.0,0.1162790697674418,0.0,0.5813953488372093,0.0481474263144493
42,600,5,3.886363636363636,-0.1172617466669393,0.9310344827586208,0.2045454545454545,0.0151515151515151,1.0454545454545454,0.0050475989006761
43,600,5,4.5,-0.0346573590279972,0.75,0.2,0.0666666666666666,0.95,0.0032155564069533
44,600,5,3.6666666666666665,-0.1521449397155945,0.8636363636363636,0.1407407407407407,0.0222222222222222,0.8888888888888888,0.0838241690951191
45,600,5,3.744186046511628,-0.066611947844806,1.0,0.2015503875968992,0.0,0.7674418604651163,0.020681057949129
46,600,5,4.8478260869565215,-0.1978834430949166,0.8541666666666666,0.2971014492753623,0.0507246376811594,0.9130434782608696,0.0214153718797173
47,600,5,3.925,-0.2090907171065695,0.9523809523809524,0.1666666666666666,0.0083333333333333,1.0,0.061979059787074
48,600,5,4.468085106382978,0.0101571409834278,1.0,0.2553191489361702,0.0,0.574468085106383,0.0162296047408039
49,600,5,3.3255813953488373,-0.0685875180401013,1.0,0.1705426356589147,0.0,0.7674418604651163,0.0207209115435322
50,600,5,4.45945945945946,0.1101063125665398,0.6333333333333333,0.1711711711711711,0.0990990990990991,1.135135135135135,0.0257290408934215
51,600,5,3.787878787878788,-0.0172457776153935,0.8235294117647058,0.1414141414141414,0.0303030303030303,0.9393939393939394,0.0499100307063974
52,600,5,4.666666666666667,-0.1394980361309726,1.0,0.2716049382716049,0.0,0.9629629629629628,0.0245396321237103
53,600,5,3.2916666666666665,-0.15530666561175,1.0,0.125,0.0,0.625,0.0554286538417007
54,600,5,3.238095238095238,-0.0969984182133803,1.0,0.2142857142857142,0.0,0.6904761904761905,0.0429047490280727
55,600,5,4.159090909090909,-0.1083427442164072,1.0,0.1590909090909091,0.0,1.1363636363636365,0.0858680197972908
56,600,5,4.0,-0.2076124969666192,1.0,0.2803030303030303,0.0,0.8863636363636364,0.1063734667224373
