pp_id_behav,pp_id_scan,stim_tempo_intended,length,condition,n_trials,G_resp,entropy_diff_norm_q_avg,asynchrony_norm_abs_avg,iti_ioi_cov_diff_avg,binary_or_ternary_introduced,tempo_deviation_abs_avg
64,48,600,5,600_5,42,0.0063405429141887,0.05885422975007731,0.045162994142201734,0.027397355776438297,1.418650793650794,0.20964347084853388
36,49,400,4,400_4,40,0.0171606317341156,-0.0043604011980379,0.034424138751545916,0.03414720015362232,1.865625,0.07574537250295957
36,49,400,5,400_5,36,0.0288669849194015,-0.1227918654233874,0.03133203688283989,-0.006039307344309763,0.22337962962962937,0.08496720974739036
36,49,600,4,600_4,40,0.0231741790650469,-0.013081203594113699,0.035420518640359985,0.03792723238890523,2.85625,0.08735969397562661
36,49,600,5,600_5,39,0.0805331408808632,0.01224065708259256,0.035720050930857596,0.05131419932198932,2.5972222222222228,0.07873039409190621
41,50,400,4,400_4,45,0.0210025432801558,-0.006392934943372906,0.02179427945117486,0.001325843418002844,0.48333333333333345,0.0670773056073822
41,50,400,5,400_5,44,0.0016580710885395,-0.055136707544541114,0.023448170691884377,-0.02134463448841017,0.5033143939393941,0.07345505096049766
41,50,600,4,600_4,41,0.0533442953805973,-0.1184523725620911,0.02786048710807905,-0.014175971720940532,0.6067073170731708,0.05862405954244888
41,50,600,5,600_5,44,0.0609817833939078,-0.08382438576881227,0.02470936173204645,-0.019438441596437882,-0.5416666666666669,0.05892699993977865
33,51,400,4,400_4,37,0.0393530316924949,-0.02969222401805701,0.04111191766790792,0.05241454765944527,-0.5152027027027023,0.10384017654538345
33,51,400,5,400_5,31,0.0740521436808564,-0.06855819545881528,0.05229808884400981,0.07236168269488527,3.827956989247312,0.12348470959580245
33,51,600,4,600_4,37,0.116240615507615,0.08436272481304898,0.049148695888439904,0.08316653187479885,4.3800675675675675,0.12869074242794087
33,51,600,5,600_5,36,0.0514341341987937,0.13841228610724315,0.05248184737295519,0.07569878770775469,2.41087962962963,0.1247330715759945
21,52,400,4,400_4,44,0.0505918776968697,0.0249684611060934,0.041109465952396396,0.07173807018645315,3.2805232558139537,0.11908883868035658
21,52,400,5,400_5,41,0.0339086238020371,-0.03174011811517539,0.04368832182330455,0.06382497269779765,1.450711382113821,0.1045082948507351
21,52,600,4,600_4,46,0.0697471135169902,-1.2872151010146743e-17,0.049908033194780634,0.05637916361561172,5.1195652173913055,0.0880623170495734
21,52,600,5,600_5,46,0.0648099220794651,0.043505816086332916,0.04310995456511144,0.06725555303864952,4.894021739130436,0.11113514948850037
38,53,400,4,400_4,44,0.0026656871135541,-0.018430232186734744,0.0401522461640861,0.07059542295223233,2.7386363636363638,0.13675131112241268
38,53,400,5,400_5,46,0.0138900837848088,0.04904600206879155,0.03831450688745392,0.09203566624456547,1.9320652173913047,0.16307909843912743
38,53,600,4,600_4,47,0.0216323891636325,-0.06882312431091656,0.05570182692326248,0.0719328254946858,3.3816489361702136,0.10108394308482437
38,53,600,5,600_5,45,0.0255108066182091,-0.019329371867656008,0.04324512346215848,0.07424327874268231,3.828703703703704,0.09611040614572644
62,54,400,4,400_4,48,0.0205429181733848,-0.06139593271169368,0.026101737567303957,-0.006833354335664845,2.606770833333334,0.05886774199123953
62,54,400,5,400_5,48,0.0184141795179433,-0.11198496682675345,0.019829524826115316,-0.011490103705018864,-0.17795138888888898,0.06645893452556283
