pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,length,n_resp,stim_tempo_intended,stim_tempo,stim_sd,interval_i,stim_ioi,resp_iti,ioi_iti_diff
11,21,M,danish,right,0.0,44,11_44,4,4,600,509.67365967366,191.809058994599,3,402.447552447552,398.863636363636,3.58391608391617
11,21,M,danish,right,0.0,44,11_44,4,4,600,509.67365967366,191.809058994599,1,731.118881118881,713.863636363636,17.2552447552447
11,21,M,danish,right,0.0,44,11_44,4,4,600,509.67365967366,191.809058994599,2,395.454545454545,425.454545454545,30.0
11,21,M,danish,right,0.0,44,11_44,4,4,600,509.67365967366,191.809058994599,3,402.447552447552,398.863636363636,3.58391608391617
11,21,M,danish,right,0.0,45,11_45,5,5,400,379.057591623037,128.75217410846,1,466.753926701571,505.227272727273,38.4733460257021
11,21,M,danish,right,0.0,45,11_45,5,5,400,379.057591623037,128.75217410846,2,506.020942408377,597.272727272727,91.2517848643504
11,21,M,danish,right,0.0,45,11_45,5,5,400,379.057591623037,128.75217410846,3,233.769633507853,233.181818181818,0.58781532603507
11,21,M,danish,right,0.0,45,11_45,5,5,400,379.057591623037,128.75217410846,4,309.685863874346,241.363636363636,68.3222275107094
11,21,M,danish,right,0.0,45,11_45,5,5,400,379.057591623037,128.75217410846,1,466.753926701571,505.227272727273,38.4733460257021
11,21,M,danish,right,0.0,45,11_45,5,5,400,379.057591623037,128.75217410846,2,506.020942408377,597.272727272727,91.2517848643504
11,21,M,danish,right,0.0,45,11_45,5,5,400,379.057591623037,128.75217410846,3,233.769633507853,233.181818181818,0.58781532603507
11,21,M,danish,right,0.0,45,11_45,5,5,400,379.057591623037,128.75217410846,4,309.685863874346,241.363636363636,68.3222275107094
11,21,M,danish,right,0.0,46,11_46,5,5,600,522.774869109948,119.428356795292,1,493.979057591623,548.181818181818,54.2027605901951
11,21,M,danish,right,0.0,46,11_46,5,5,600,522.774869109948,119.428356795292,2,682.460732984293,742.5,60.0392670157071
11,21,M,danish,right,0.0,46,11_46,5,5,600,522.774869109948,119.428356795292,3,394.502617801047,353.863636363636,40.6389814374108
11,21,M,danish,right,0.0,46,11_46,5,5,600,522.774869109948,119.428356795292,4,520.157068062827,407.045454545455,113.111613517372
11,21,M,danish,right,0.0,46,11_46,5,5,600,522.774869109948,119.428356795292,1,493.979057591623,548.181818181818,54.2027605901951
11,21,M,danish,right,0.0,46,11_46,5,5,600,522.774869109948,119.428356795292,2,682.460732984293,742.5,60.0392670157071
11,21,M,danish,right,0.0,46,11_46,5,5,600,522.774869109948,119.428356795292,3,394.502617801047,353.863636363636,40.6389814374108
