pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,stim_tempo_intended,stim_tempo,stim_sd,length,n_resp,ITI_mean,ITI_sd,edit_distance,stim_entropy,resp_entropy,entropy_diff,G,silhouette,rhythmic_contours_edit_distance
4,22,F,danish,right,0.0,20,4_20,600,424.607329842932,62.2611202944266,5,5,389.147727272727,106.079712835238,1,1.039720770839918,1.3862943611198906,0.3465735902799727,0.023560942453414335,0.540642730367117,0
4,22,F,danish,right,0.0,21,4_21,400,365.968586387435,171.281024114718,5,5,376.363636363636,159.265488627538,2,1.039720770839918,1.3862943611198906,0.3465735902799727,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,22,4_22,600,558.624708624709,146.700442305973,4,4,530.454545454545,179.561708125072,1,1.3862943611198906,1.3862943611198906,0.0,0.023560942453414335,0.540642730367117,0
4,22,F,danish,right,0.0,23,4_23,400,362.696335078534,79.2974817017632,5,5,363.068181818182,95.3936494065901,2,1.3862943611198906,1.3862943611198906,0.0,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,24,4_24,600,595.418848167539,93.1038402225635,5,5,485.795454545455,55.2272727272727,4,1.3862943611198906,1.3862943611198906,0.0,0.023560942453414335,0.540642730367117,0
4,22,F,danish,right,0.0,25,4_25,400,435.547785547786,249.830822833808,4,4,365.454545454545,185.960206353691,1,1.3862943611198906,1.3862943611198906,0.0,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,26,4_26,600,608.741258741259,96.1379516424303,4,4,582.954545454545,161.746185464748,3,1.3862943611198906,1.3862943611198906,0.0,0.023560942453414335,0.540642730367117,0
4,22,F,danish,right,0.0,27,4_27,400,555.594405594406,54.6171306007459,4,4,557.045454545455,125.597127474127,2,1.3862943611198906,1.3862943611198906,0.0,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,28,4_28,600,558.624708624709,107.219772793538,4,4,555.0,160.021144005802,0,1.3862943611198906,1.3862943611198906,0.0,0.023560942453414335,0.540642730367117,1
4,22,F,danish,right,0.0,29,4_29,400,449.083769633508,82.3498520426565,5,5,506.761363636364,130.36864648988,3,1.3862943611198906,1.3862943611198906,0.0,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,30,4_30,600,651.864801864802,208.806942065834,4,4,459.545454545455,129.516743229821,5,1.0986122886681096,1.0986122886681096,0.0,0.023560942453414335,0.540642730367117,0
4,22,F,danish,right,0.0,31,4_31,400,477.879581151832,173.465948254156,5,5,451.022727272727,133.467541787297,3,1.0986122886681096,1.0986122886681096,0.0,0.03039707248413781,0.5500403462669369,1
4,22,F,danish,right,0.0,32,4_32,600,582.329842931937,185.431680480146,5,5,503.181818181818,138.699315066802,3,1.0986122886681096,1.0986122886681096,0.0,0.023560942453414335,0.540642730367117,0
4,22,F,danish,right,0.0,33,4_33,400,477.225130890052,171.354359317084,5,5,470.965909090909,184.464582873544,4,1.0986122886681096,1.0986122886681096,0.0,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,34,4_34,600,510.994764397906,158.263340316145,5,5,496.022727272727,174.815575785426,0,1.0986122886681096,1.0986122886681096,0.0,0.023560942453414335,0.540642730367117,0
4,22,F,danish,right,0.0,37,4_37,400,569.58041958042,112.378732027889,4,4,511.363636363636,164.287058538723,3,1.0986122886681096,1.0986122886681096,0.0,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,39,4_39,400,229.254079254079,42.7279785077467,4,4,208.636363636364,11.3886089239706,3,1.0986122886681096,1.0986122886681096,0.0,0.03039707248413781,0.5500403462669369,1
4,22,F,danish,right,0.0,40,4_40,600,499.869109947644,70.3201654510977,5,5,451.022727272727,77.3405451064019,4,1.0986122886681096,1.0986122886681096,0.0,0.023560942453414335,0.540642730367117,1
4,22,F,danish,right,0.0,41,4_41,400,210.606060606061,71.6854280404745,4,4,198.409090909091,72.8078388977361,1,1.0986122886681096,1.0986122886681096,0.0,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,42,4_42,600,563.350785340314,124.531412484464,5,5,539.488636363636,60.6406269797393,1,1.0986122886681096,1.0986122886681096,0.0,0.023560942453414335,0.540642730367117,0
4,22,F,danish,right,0.0,43,4_43,400,447.202797202797,176.252911344455,4,4,426.818181818182,176.055700004664,1,1.0986122886681096,1.0986122886681096,0.0,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,44,4_44,600,572.513089005236,169.342930837806,5,5,546.136363636364,232.312974630816,1,1.0986122886681096,1.0986122886681096,0.0,0.023560942453414335,0.540642730367117,1
4,22,F,danish,right,0.0,46,4_46,600,515.501165501165,128.770737924186,4,4,557.045454545455,135.870129714961,1,1.3862943611198906,1.3862943611198906,0.0,0.023560942453414335,0.540642730367117,0
